"Avg_mode_power","Star Rating Index"
16.1448,"5.065515602883841"
88,"5.236627970976682"
88,"5.236627970976682"
117,"5.355253595377076"
117,"5.355253595377076"
155,"5.330707323817691"
155,"5.330707323817691"
176,"5.856907400218116"
176,"5.856907400218116"
82,"4.74155557796945"
72,"4.092320104225092"
131.33,"5.50624872605241"
50.909,"5.65085899801826"
106.02,"3.9810903951176293"
76.37,"6.012873325950687"
47.72,"5.678474523916174"
92.33,"5.02167727117258"
92.33,"5.02167727117258"
92.33,"5.02167727117258"
172.02,"5.503015094115111"
135,"5.281262908225567"
135,"5.281262908225567"
135,"5.281262908225567"
75.43,"5.0986611387808685"
75.43,"5.0986611387808685"
75.43,"5.0986611387808685"
139.4,"4.000233788824486"
103.3,"4.000700737851957"
59,"4.376857615002824"
104.9,"4.248770058146791"
17.38,"6.206406424105242"
43.23,"6.374499841331531"
47.37,"7.01820175064728"
54.84,"7.363472126667125"
131.3,"4.8284525181425515"
140.3,"3.1685433369151603"
105.8,"4.025599758439423"
82.7,"4.1544565935330064"
308,"4.594530914578515"
308,"4.594530914578515"
106.97,"6.864232951472192"
103.48,"4.0111451391386845"
132.81,"4.507742024035239"
100.2,"6.642364202133211"
127.8,"4.594420943933631"
18,"6.010103150137152"
21.96,"5.075471344694654"
138,"4.023797901601759"
18,"6.010103150137152"
67.65,"5.0190601095993035"
80.04,"5.533270548071191"
167.08,"4.5111751402328695"
126,"4.047440238919245"
105.8,"4.025599758439423"
152.07,"3.514641825425533"
106.02,"6.01015601007195"
78,"4.971755359043742"
80,"5.657905656148303"
115,"5.443521850734936"
140,"5.785034758827632"
92.8,"3.8314867587390524"
41.38,"6.159156396551919"
93.12,"3.762321958542641"
93.12,"3.762321958542641"
146.3,"4.515746696854434"
146.3,"4.515746696854434"
128.4,"4.524965490865716"
128.4,"4.524965490865716"
94.22,"4.92928651409559"
94.22,"4.92928651409559"
64,"4.611447961772836"
25.92,"5.799687998815937"
17.74,"5.884900594348791"
108.56,"5.681650596552234"
108.56,"5.681650596552234"
208.8,"4.004949067951377"
51.04,"5.198431890000209"
51.04,"5.198431890000209"
111.72,"6.371087818075435"
105.46,"4.0111451391386845"
105.46,"4.0111451391386845"
95.274,"6.0693688847202"
62.33,"5.537859061582124"
62.33,"5.537859061582124"
94.45,"5.889802753064086"
94.45,"5.889802753064086"
70.66,"5.796755940359919"
70.66,"5.796755940359919"
105.9,"4.0428160845075745"
126.93,"4.989492687558583"
25.5,"6.316630932016583"
