"Avg_mode_power","Screen_Size_Extracted"
66.3,"43"
66.3,"43"
66.3,"43"
25.26,"32"
23,"24"
23,"24"
23,"24"
23,"24"
70,"55"
108.294,"70"
61.9,"602"
40.25,"402"
33.5,"32"
24.3,"32"
80.1,"50"
80.1,"50"
80.1,"50"
80.1,"50"
80.1,"50"
80.1,"50"
32.9,"40"
55.3,"50"
67.9,"55"
68.2,"60"
139.61,"70"
139.61,"70"
139.61,"70"
139.61,"70"
139.61,"70"
21.64,"520"
21.64,"522"
94.374,"65"
35.04,"520"
35.04,"522"
137.2,"752"
14.89,"520"
21.71,"522"
25.17,"522"
25.17,"523"
24.52,"522"
31,"32"
31,"32"
31,"32"
147,"75"
108.02,"70"
43.5,"400"
43.2,"40"
65.9,"43"
81,"50"
91,"55"
115,"65"
136.9,"75"
155,"86"
137,"75"
155,"86"
122.64,"65"
88.74,"55"
193.1,"75"
193.1,"75"
193.1,"75"
193.1,"75"
193.1,"75"
193.1,"75"
19.2,"24"
19.2,"24"
19.2,"24"
19.2,"24"
19.2,"24"
70,"55"
85,"65"
61,"48"
61,"48"
76.5,"55"
76.5,"55"
76.5,"55"
98,"65"
98,"65"
98,"65"
52,"42"
58,"48"
293,"98"
293,"98"
293,"98"
34.7,"40"
38.12,"320"
61,
58.7,"55"
131.3,"55"
131.3,"55"
131.3,"55"
131.3,"55"
131.3,"55"
131.3,"55"
120.1,"65"
120.1,"65"
120.1,"65"
120.1,"65"
120.1,"65"
120.1,"65"
143.6,"85"
83.6,"65"
19.2,"24"
155,"86"
137,"75"
82,"55"
82,"55"
94.374,"65"
110.35,"70"
101.358,"65"
130.692,"75"
21,"24"
46.1,"40"
70.7,"50"
208.5,"65"
248.3,"75"
321.3,"85"
75.48,"557"
75.48,"55"
75.48,"557"
75.48,"557"
94.374,"65"
128.89,"75"
107.6,"65"
66.42,"65"
91,"55"
115,"65"
89.1,"55"
66,"43"
464,"115"
81,"50"
211.836,"750"
102,"60"
102,"60"
102,"60"
102,"60"
102,"60"
102,"60"
45.3,"400"
78,"55"
78,"55"
78,"55"
110,"65"
110,"65"
110,"65"
146,"85"
146,"85"
146,"85"
134,"75"
134,"75"
134,"75"
38.16,"430"
31.68,"32"
31.68,"32"
31.68,"32"
32.46,"40"
32.46,"40"
32.46,"40"
17.48,"24"
18.47,"19"
67.76,"50"
52.6,"49"
100.8,"65"
34.76,"32"
35.63,"40"
112.33,"70"
108.29,"70"
31.784,"320"
94.65,"650"
94.65,"650"
94.65,"650"
82.2,"550"
15.38,"24"
100.3,"75"
56.59,"50"
195.75,"750"
33.4,"32"
58.95,"500"
90.11,"55"
92.39,"650"
28,"320"
28,"320"
28,"320"
60.78,"550"
60.78,"550"
60.78,"550"
60.78,"557"
60.78,"557"
34.296,"320"
34.296,"320"
34.296,"320"
34.296,"320"
34.296,"320"
60.78,"557"
114.75,"55"
114.75,"65"
114.75,"75"
114.75,"55"
114.75,"65"
114.75,"75"
158.28,"65"
158.28,"65"
158.28,"65"
158.28,"65"
127.74,"55"
127.74,"55"
127.74,"55"
127.74,"55"
34.8,"32"
26.3,"240"
26.3,"24"
26.3,"240"
252.5,"75"
252.5,"75"
252.5,"75"
252.5,"75"
482.4,"86"
482.4,"86"
482.4,"86"
482.4,"86"
482.4,
240.9,"65"
340.8,"75"
254.9,"100"
254.9,"100"
254.9,"100"
254.9,"100"
254.9,"100"
82,"55"
82,"55"
100,"65"
100,"65"
105,"75"
105,"75"
148,"86"
148,"86"
61.2,"55"
67.5,"55"
47.5,"50"
52.1,"50"
76.6,"65"
51.6,"500"
51.6,"500"
51.6,"500"
24.7,"32"
32.5,"43"
41.5,"43"
152.8,"75"
106,"65"
106,"65"
20,"24"
62,"43"
62,"43"
80,"55"
80,"55"
105,"65"
105,"65"
63,"43"
140,"65"
51.6354,"43"
51.03,"43"
51.03,"43"
51.03,"43"
51.03,"43"
51.03,"43"
51.03,"43"
51.03,"43"
51.03,"43"
51.03,"43"
51.03,"43"
212,"85"
212,"85"
109,"65"
109,"65"
51.6354,"43"
51.6354,"43"
51.6354,"43"
51.6354,"43"
51.6354,"43"
51.6354,"43"
51.6354,"43"
51.6354,"43"
51.6354,"43"
51.6354,"43"
65.5236,"55"
71.3472,"55"
71.3472,"55"
71.3472,"55"
71.3472,"55"
71.3472,"55"
71.3472,"55"
71.3472,"55"
71.3472,"55"
71.3472,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
67.434,"55"
93.012,"65"
90.0792,"65"
90.0792,"65"
90.0792,"65"
90.0792,"65"
90.0792,"65"
90.0792,"65"
90.0792,"65"
90.0792,"65"
90.0792,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
90.1488,"65"
103.59,"75"
124.536,"75"
124.536,"75"
124.536,"75"
124.536,"75"
124.536,"75"
124.536,"75"
124.536,"75"
124.536,"75"
124.536,"75"
124.536,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
119.9244,"75"
24.82,"32"
24.82,"32"
24.82,"32"
51.6,"507"
51.6,"507"
51.6,"507"
149.6,"700"
136.3,"70"
102,"60"
55.52,"50"
55.52,"500"
55.52,"500"
55.52,"500"
55.52,"500"
80,"50"
82,"55"
88,"55"
10,"24"
78,"48"
60,"48"
90,"55"
96,"55"
92,"55"
112,"65"
138,"77"
27.25,"24"
126,"77"
179.1,"75"
179.1,"75"
179.1,"75"
179.1,"75"
179.1,"75"
179.1,"75"
255.138,"85"
255.138,"85"
255.138,"85"
255.138,"85"
214.632,"75"
214.632,"75"
214.632,"75"
214.632,"75"
197.274,"65"
197.274,"65"
197.274,"65"
197.274,"65"
147.3,"65"
147.3,"65"
147.3,"65"
147.3,"65"
147.3,"65"
147.3,"65"
223.7,"75"
223.7,"75"
223.7,"75"
223.7,"75"
223.7,"75"
223.7,"75"
219.1,"100"
219.1,"100"
219.1,"100"
219.1,"100"
219.1,"100"
219.1,"100"
58.3,"430"
58.3,"430"
58.3,"430"
58.3,"430"
55.52,"50"
60.48,"50"
60.48,"50"
60.48,"50"
60.48,"50"
58.7,"55"
58.7,"55"
58.7,"55"
58.7,"55"
97.4,"55"
97.4,"55"
97.4,"55"
97.4,"55"
97.4,"55"
97.4,"55"
35.1,"320"
35.1,"320"
35.1,"320"
35.1,"320"
76.1,"55"
76.1,"55"
76.1,"55"
76.1,"55"
76.1,"55"
